Match,Date,Bet,Return,Gain,Meta,Odds,Balance,Comments,BET_TYPE,BET_STYLE,BET_RESULT,TEAM_1,TEAM_2
"Peru @ 19.00
$5.00 Single",2018-06-16 12:22:49,5.0,0.0,-5.0,WC,19.0,190.0,,FINAL RESULT,PRE MATCH,LOST,,
"Germany -1.0,-1.5 @ 2.070
$50.00 Single",2018-06-17 05:13:59,50.0,50.0,0.0,WC,2.07,190.0,,ASIAN HANDICAP,PRE MATCH,PUSH,,
"Germany -1.0,-1.5 @ 2.070
$30.00 Single",2018-06-17 05:15:01,30.0,0.0,-30.0,WC,2.07,160.0,,ASIAN HANDICAP,PRE MATCH,LOST,,
"Sweden 0.0,-0.5 @ 1.930
$20.00 Single",2018-06-18 06:35:41,20.0,38.6,18.6,WC,1.93,178.6,,ASIAN HANDICAP,PRE MATCH,WIN,,
"Over 2.5 @ 1.70
$20.00 Single",2018-06-18 09:25:53,20.0,34.0,14.0,WC,1.7,192.6,,TOTAL GOAL,PRE MATCH,WIN,,
"Morocco +0.5,+1.0 @ 2.080
$20.00 Single",2018-06-18 17:47:26,20.0,20.0,0.0,WC,2.08,192.6,,ASIAN HANDICAP,PRE MATCH,PUSH,,
"Egypt +0.5 @ 1.830
$12.60 Single",2018-06-18 18:34:05,12.6,12.6,0.0,WC,1.83,192.6,,ASIAN HANDICAP,PRE MATCH,PUSH,,
"Colombia @ 1.75
$22.60 Single",2018-06-18 20:38:44,22.6,0.0,-22.6,WC,1.75,170.0,,FINAL RESULT,PRE MATCH,LOST,,
"Over 2.0,2.5 @ 1.930
$20.00 Single",2018-06-20 06:44:56,20.0,0.0,-20.0,WC,1.93,150.0,,TOTAL GOAL,PRE MATCH,LOST,,
"Saudi Arabia +1.5,+2.0 @ 1.960
$20.00 Single",2018-06-20 09:55:16,20.0,39.2,19.2,WC,1.96,169.2,,ASIAN HANDICAP,PRE MATCH,WIN,,
"Australia +0.5 @ 1.980
$20.00 Single",2018-06-21 06:37:29,20.0,20.0,0.0,WC,1.98,169.2,,ASIAN HANDICAP,PRE MATCH,PUSH,,
"Australia +0.5 @ 2.010
$20.00 Single",2018-06-21 06:49:41,20.0,40.2,20.2,WC,2.01,189.4,,ASIAN HANDICAP,PRE MATCH,WIN,,
"Over 2.0,2.5 @ 2.125
$20.00 Single",2018-06-21 07:56:04,20.0,0.0,-20.0,WC,2.125,169.4,,TOTAL GOAL,PRE MATCH,LOST,,
"Over 2.0 @ 1.810
$19.40 Single",2018-06-21 09:48:09,19.4,0.0,-19.4,WC,1.81,150.0,,TOTAL GOAL,PRE MATCH,LOST,,
"Serbia @ 3.75
$10.00 Single",2018-06-22 14:29:56,10.0,0.0,-10.0,WC,3.75,140.0,,FINAL RESULT,PRE MATCH,LOST,,
"South Korea +0.5,+1.0 @ 1.920
$20.00 Single",2018-06-23 06:46:37,20.0,19.0,-1.0,WC,1.92,139.0,,ASIAN HANDICAP,PRE MATCH,CASH_OUT,,
"No @ 2.05
$20.00 Single",2018-06-23 09:08:41,20.0,0.0,-20.0,WC,2.05,119.0,,BTTS,PRE MATCH,LOST,,
"No @ 2.05
$19.00 Single",2018-06-23 09:45:02,19.0,0.0,-19.0,WC,2.05,100.0,,BTTS,PRE MATCH,LOST,,
"No @ 1.70
$20.00 Single",2018-06-24 09:51:07,20.0,0.0,-20.0,WC,1.7,80.0,,BTTS,PRE MATCH,LOST,,
"Colombia 0.0,-0.5 @ 1.890
$30.00 Single",2018-06-24 11:54:08,30.0,56.7,26.7,WC,1.89,106.7,,ASIAN HANDICAP,PRE MATCH,WIN,,
"Yes @ 1.95
$20.00 Single",2018-06-24 17:20:21,20.0,39.0,19.0,WC,1.95,125.7,,BTTS,PRE MATCH,WIN,,
"Under 9.5 @ 1.900
$15.70 Single",2018-06-25 12:43:24,15.7,29.83,14.13,WC,1.9,139.83,,TOTAL CORNER,PRE MATCH,WIN,,
"Australia 0.0 @ 1.850
$19.83 Single",2018-06-25 16:25:22,19.83,36.69,16.86,WC,1.85,156.69,,ASIAN HANDICAP,PRE MATCH,WIN,,
"Nigeria @ 6.25
$5.00 Single",2018-06-26 08:15:16,5.0,0.0,-5.0,WC,6.25,151.69,,FINAL RESULT,PRE MATCH,LOST,,
"Nigeria @ 29.00
$1.69 Single",2018-06-26 13:51:31,1.69,0.0,-1.69,WC,29.0,150.0,,FINAL RESULT,PRE MATCH,LOST,,
"No @ 1.90
$20.00 Single",2018-06-26 20:01:11,20.0,20.0,0.0,WC,1.9,150.0,,BTTS,PRE MATCH,PUSH,,
"France 0.0,-0.5 @ 2.040
$30.00 Single",2018-06-26 20:48:13,30.0,61.2,31.2,WC,2.04,181.2,,ASIAN HANDICAP,PRE MATCH,WIN,,
"France @ 2.40
$20.00 Single",2018-06-26 21:06:07,20.0,48.0,28.0,WC,2.4,209.2,,FINAL RESULT,PRE MATCH,WIN,,
"France 0.0,-0.5 @ 1.990
$20.00 Single",2018-06-27 05:49:29,20.0,39.8,19.8,WC,1.99,229.0,,ASIAN HANDICAP,PRE MATCH,WIN,,
"Sweden -0.5 @ 1.975
$20.00 Single",2018-06-27 08:00:28,20.0,0.0,-20.0,WC,1.975,209.0,,ASIAN HANDICAP,PRE MATCH,LOST,,
"Serbia 1-0 @ 21.00
$5.00 Single",2018-06-27 12:57:35,5.0,0.0,-5.0,WC,21.0,204.0,,FINAL SCORE,PRE MATCH,LOST,,
"Serbia @ 29.00
$5.00 Single",2018-06-27 14:15:34,5.0,0.0,-5.0,WC,29.0,199.0,,FINAL RESULT,PRE MATCH,LOST,,
"France 0.0,-0.5 @ 2.040
$30.00 Single",2018-06-30 08:20:07,30.0,61.2,31.2,WC,2.04,230.2,,ASIAN HANDICAP,PRE MATCH,WIN,,
"France @ 2.37
$20.00 Single",2018-06-30 08:25:29,20.0,47.5,27.5,WC,2.37,257.7,,FINAL RESULT,PRE MATCH,WIN,,
"Uruguay 0.0 @ 2.010
$30.00 Single",2018-06-30 11:33:38,30.0,60.3,30.3,WC,2.01,288.0,,ASIAN HANDICAP,PRE MATCH,WIN,,
"Under 9.0 @ 2.10
$20.00 Single",2018-06-30 11:53:01,20.0,0.0,-20.0,WC,2.1,268.0,,TOTAL CORNER,PRE MATCH,LOST,,
"Russia -1.0 @ 1.850
$18.00 Single",2018-07-01 05:12:18,18.0,18.0,0.0,WC,1.85,268.0,,ASIAN HANDICAP,PRE MATCH,PUSH,,
"Spain @ 1.80
$18.00 Single",2018-07-01 11:34:44,18.0,0.0,-18.0,WC,1.8,250.0,,FINAL RESULT,PRE MATCH,LOST,,
"Denmark +0.5 @ 1.960
$30.00 Single",2018-07-01 12:15:40,30.0,58.8,28.8,WC,1.96,278.8,,ASIAN HANDICAP,PRE MATCH,WIN,,
"Denmark +0.5 @ 1.940
$20.00 Single",2018-07-01 12:48:17,20.0,38.8,18.8,WC,1.94,297.6,,ASIAN HANDICAP,PRE MATCH,WIN,,
"Brazil -1.0 @ 1.810
$30.00 Single",2018-07-02 08:10:05,30.0,30.0,0.0,WC,1.81,297.6,,ASIAN HANDICAP,PRE MATCH,PUSH,,
"Mexico -1.0 @ 2.000
$20.00 Single",2018-07-02 08:10:24,20.0,40.0,20.0,WC,2.0,317.6,,ASIAN HANDICAP,PRE MATCH,WIN,,
"Brazil -1.0 @ 1.800
$30.00 Single",2018-07-02 08:21:06,30.0,54.0,24.0,WC,1.8,341.6,,ASIAN HANDICAP,PRE MATCH,WIN,,
"Brazil -0.5 @ 2.110
$41.60 Single",2018-07-02 15:57:15,41.6,41.6,0.0,WC,2.11,341.6,,ASIAN HANDICAP,PRE MATCH,PUSH,,
"France -0.5 @ 2.000
$50.00 Single",2018-07-02 16:12:02,50.0,100.0,50.0,WC,2.0,391.6,,ASIAN HANDICAP,PRE MATCH,WIN,,
"No @ 1.66
$41.60 Single",2018-07-02 19:26:31,41.6,69.34,27.74,WC,1.66,419.34,,BTTS,PRE MATCH,WIN,,
"England -1.5 @ 1.900
$20.00 Single",2018-07-03 06:53:21,20.0,38.0,18.0,WC,1.9,437.34,,ASIAN HANDICAP,PRE MATCH,WIN,,
"Antoine Griezmann @ 21.00
$4.34 Single",2018-07-03 12:26:42,4.34,0.0,-4.34,WC,21.0,433.0,,FINAL RESULT,PRE MATCH,LOST,,
"France -0.5 @ 1.775
$45.00 Single",2018-07-03 13:55:27,45.0,0.0,-45.0,WC,1.775,388.0,,ASIAN HANDICAP,PRE MATCH,LOST,,
"France -1.0 @ 1.925
$38.00 Single",2018-07-04 06:06:00,38.0,38.0,0.0,WC,1.925,388.0,,ASIAN HANDICAP,PRE MATCH,PUSH,,
"England -0.5 @ 1.960
$50.00 Single",2018-07-04 06:28:48,50.0,98.0,48.0,WC,1.96,436.0,,ASIAN HANDICAP,PRE MATCH,WIN,,
"No @ 1.61
$18.00 Single",2018-07-05 08:06:16,18.0,29.08,11.08,WC,1.61,447.08,,BTTS,PRE MATCH,WIN,,
"Brazil 0.0,-0.5 @ 1.840
$30.00 Single",2018-07-05 19:47:53,30.0,0.0,-30.0,WC,1.84,417.08,,ASIAN HANDICAP,PRE MATCH,LOST,,
"Draw 2-2 @ 23.00
$5.00 Single",2018-07-06 06:52:16,5.0,5.0,0.0,WC,23.0,417.08,,FINAL SCORE,PRE MATCH,PUSH,,
"Draw 2-2 @ 17.00
$5.00 Single",2018-07-06 06:52:51,5.0,0.0,-5.0,WC,17.0,412.08,,FINAL SCORE,PRE MATCH,LOST,,
"Brazil -0.5 @ 2.110
$24.08 Single",2018-07-06 11:11:49,24.08,0.0,-24.08,WC,2.11,388.0,,ASIAN HANDICAP,PRE MATCH,LOST,,
"Brazil -0.5 @ 2.125
$50.00 Single",2018-07-06 11:58:05,50.0,0.0,-50.0,WC,2.125,338.0,,ASIAN HANDICAP,PRE MATCH,LOST,,
"England -0.5 @ 1.900
$100.00 Single",2018-07-07 06:54:49,100.0,190.0,90.0,WC,1.9,428.0,,ASIAN HANDICAP,PRE MATCH,WIN,,
"France 0.0,-0.5 @ 2.125
$100.00 Single",2018-07-07 06:57:38,100.0,100.0,0.0,WC,2.125,428.0,,ASIAN HANDICAP,PRE MATCH,PUSH,,
"No @ 1.66
$50.00 Single",2018-07-07 08:58:55,50.0,62.5,12.5,WC,1.66,440.5,,BTTS,PRE MATCH,WIN,,
"Under 7.5 @ 1.57
$20.00 Single",2018-07-07 15:39:17,20.0,31.43,11.43,WC,1.57,451.93,,TOTAL CORNER,PRE MATCH,WIN,,
"France 0.0,-0.5 @ 2.125
$21.93 Single",2018-07-07 20:18:35,21.93,36.57,14.64,WC,2.125,466.57,,ASIAN HANDICAP,PRE MATCH,WIN,,
"England 0.0,-0.5 @ 2.040
$30.00 Single",2018-07-07 20:19:05,30.0,15.0,-15.0,WC,2.04,451.57,,ASIAN HANDICAP,PRE MATCH,LOST,,
"England 0.0,-0.5 @ 1.990
$20.00 Single",2018-07-08 20:38:57,20.0,20.0,0.0,WC,1.99,451.57,,ASIAN HANDICAP,PRE MATCH,PUSH,,
"France 0.0,-0.5 @ 2.110
$30.00 Single",2018-07-08 20:40:20,30.0,63.3,33.3,WC,2.11,484.87,,ASIAN HANDICAP,PRE MATCH,WIN,,
"Belgium +0.5 @ 1.750
$30.00 Single",2018-07-09 09:57:44,30.0,30.0,0.0,WC,1.75,484.87,,ASIAN HANDICAP,PRE MATCH,PUSH,,
"No @ 2.00
$30.00 Single",2018-07-10 09:44:06,30.0,60.0,30.0,WC,2.0,514.87,,BTTS,PRE MATCH,WIN,,
"Raheem Sterling @ 4.00
$9.87 Single",2018-07-10 20:52:07,9.87,0.0,-9.87,WC,4.0,505.0,,FINAL RESULT,PRE MATCH,LOST,,
"France -0.5 @ 1.950
$65.00 Single",2018-07-11 22:46:23,65.0,126.75,61.75,WC,1.95,566.75,,ASIAN HANDICAP,PRE MATCH,WIN,,
"Under 3.5 @ 1.700
$50.00 Single",2018-07-13 08:59:41,50.0,85.0,35.0,WC,1.7,601.75,,TOTAL GOAL,PRE MATCH,WIN,,
"France -0.5 @ 2.160
$35.00 Single",2018-07-15 09:38:52,35.0,75.6,40.6,WC,2.16,642.35,,ASIAN HANDICAP,PRE MATCH,WIN,,
"Draw @ 3.00
$50.00 Single (50.00 Free In-Play Bet)
Free In-Play Bet Redeemed",2018-07-15 10:01:42,50.0,0.0,-50.0,WC,3.0,592.35,,FINAL RESULT,PRE MATCH,LOST,,
"Beijing Guoan @ 1.57
$52.35 Single",2018-07-21 11:39:49,52.35,52.35,0.0,CSL,1.57,592.35,,FINAL RESULT,PRE MATCH,PUSH,,
"Beijing Guoan @ 1.57
$22.35 Single",2018-07-21 11:40:15,22.35,35.13,12.78,CSL,1.57,605.13,,FINAL RESULT,PRE MATCH,WIN,,
"Beijing Guoan @ 1.57
$3.00 Single",2018-07-22 06:19:27,3.0,4.72,1.72,CSL,1.57,606.85,,FINAL RESULT,PRE MATCH,WIN,,
"Beijing Guoan @ 1.57
$27.00 Single",2018-07-22 06:19:38,27.0,42.43,15.43,CSL,1.57,622.28,,FINAL RESULT,PRE MATCH,WIN,,
"Beijing Guoan +0.5 @ 2.000
$12.28 Single",2018-07-24 21:03:45,12.28,0.0,-12.28,CSL,2.0,610.0,,ASIAN HANDICAP,PRE MATCH,LOST,,
"Shanghai Shenhua 0.0,+0.5 @ 1.775
$50.00 Single",2018-07-28 06:55:38,50.0,69.38,19.38,CSL,1.775,629.38,,ASIAN HANDICAP,PRE MATCH,WIN,Shanghai Shenhua,
"Shandong Luneng @ 1.66
$29.38 Single",2018-07-30 17:52:30,29.38,48.97,19.59,CSL,1.66,648.97,,FINAL RESULT,PRE MATCH,WIN,,
"Beijing Guoan -1.0 @ 1.900
$18.97 Single",2018-08-02 06:28:28,18.97,36.05,17.08,CSL,1.9,666.05,,ASIAN HANDICAP,PRE MATCH,WIN,,
"Shandong Luneng 0.0,+0.5 @ 2.150
$26.05 Single",2018-08-02 17:34:06,26.05,41.03,14.98,CSL,2.15,681.03,,ASIAN HANDICAP,PRE MATCH,WIN,,
"Shandong Luneng +0.5 @ 1.875
$20.00 Single",2018-08-03 20:05:16,20.0,37.5,17.5,CSL,1.875,698.53,,ASIAN HANDICAP,PRE MATCH,WIN,,
"No @ 2.25
$30.00 Single",2018-08-08 21:00:48,30.0,67.5,37.5,CSL,2.25,736.03,,BTTS,PRE MATCH,WIN,,
"No @ 2.20
$28.53 Single",2018-08-08 21:03:20,28.53,62.77,34.24,CSL,2.2,770.27,,BTTS,PRE MATCH,WIN,,
"No @ 2.00
$30.00 Single",2018-08-08 22:49:12,30.0,30.0,0.0,CSL,2.0,770.27,,BTTS,PRE MATCH,PUSH,,
"Beijing Renhe @ 2.10
$20.27 Single",2018-08-11 16:46:59,20.27,0.0,-20.27,CSL,2.1,750.0,,FINAL RESULT,PRE MATCH,LOST,,
"Shandong Luneng @ 7.00
$10.00 Single",2018-08-13 06:09:51,10.0,0.0,-10.0,CSL,7.0,740.0,,FINAL RESULT,PRE MATCH,LOST,,
"Under 3.0 @ 2.250
$30.00 Single",2018-08-13 17:38:35,30.0,30.0,0.0,CSL,2.25,740.0,,TOTAL GOAL,PRE MATCH,PUSH,,
"Under 3.0 @ 2.250
$30.00 Single",2018-08-13 19:26:09,30.0,30.0,0.0,CSL,2.25,740.0,,TOTAL GOAL,PRE MATCH,PUSH,,
"Tianjin Teda 0.0,+0.5 @ 1.875
$70.00 Single",2018-08-13 20:49:30,70.0,100.63,30.63,CSL,1.875,770.63,,ASIAN HANDICAP,PRE MATCH,WIN,,
"PSG.LGD @ 1.50
$30.00 Single",2018-08-14 07:37:38,30.0,45.0,15.0,TI,1.5,785.63,,FINAL RESULT,PRE MATCH,WIN,Paris SG,
"Under 101.5 @ 1.83
$30.00 Single",2018-08-15 06:45:07,30.0,0.0,-30.0,TI,1.83,755.63,,UNKNOWN,PRE MATCH,LOST,,
"Tianjin Quanjian +2.5 @ 2.100
$15.63 Single",2018-08-17 08:19:04,15.63,0.0,-15.63,CSL,2.1,740.0,,ASIAN HANDICAP,PRE MATCH,LOST,,
"Newbee @ 2.25
$20.00 Single",2018-08-17 14:24:19,20.0,0.0,-20.0,TI,2.25,720.0,,FINAL RESULT,PRE MATCH,LOST,,
"No @ 2.05
$30.00 Single",2018-08-18 06:32:12,30.0,0.0,-30.0,CSL,2.05,690.0,,BTTS,PRE MATCH,LOST,,
"Over 2.5 @ 1.600
$50.00 Single",2018-08-20 08:20:51,50.0,0.0,-50.0,CSL,1.6,640.0,,TOTAL GOAL,PRE MATCH,LOST,,
"fnatic @ 1.57
$30.00 Single",2018-08-20 12:56:59,30.0,0.0,-30.0,TI,1.57,610.0,,FINAL RESULT,PRE MATCH,LOST,,
"PSG.LGD @ 1.80
$20.00 Single",2018-08-20 16:33:50,20.0,36.0,16.0,TI,1.8,626.0,,FINAL RESULT,PRE MATCH,WIN,Paris SG,
"fnatic @ 1.66
$26.00 Single",2018-08-20 17:42:03,26.0,0.0,-26.0,TI,1.66,600.0,,FINAL RESULT,PRE MATCH,LOST,,
"Mineski @ 2.00
$30.00 Single",2018-08-20 19:29:29,30.0,60.0,30.0,TI,2.0,630.0,,FINAL RESULT,PRE MATCH,WIN,,
"Mineski @ 2.10
$30.00 Single",2018-08-20 19:30:06,30.0,63.0,33.0,TI,2.1,663.0,,FINAL RESULT,PRE MATCH,WIN,,
"Newbee @ 1.44
$23.00 Single",2018-08-20 20:57:43,23.0,0.0,-23.0,TI,1.44,640.0,,FINAL RESULT,PRE MATCH,LOST,,
"VGJ.Thunder @ 2.25
$30.00 Single",2018-08-20 22:30:51,30.0,0.0,-30.0,TI,2.25,610.0,,FINAL RESULT,PRE MATCH,LOST,,
"Over 2.5 @ 1.72
$20.00 Single",2018-08-21 06:37:14,20.0,0.0,-20.0,CSL,1.72,590.0,,TOTAL GOAL,PRE MATCH,LOST,,
"Virtus Pro @ 12.00
$10.00 Single",2018-08-22 07:24:46,10.0,0.0,-10.0,TI,12.0,580.0,,FINAL RESULT,PRE MATCH,LOST,,
"Team Secret @ 1.72
$40.00 Single",2018-08-22 15:03:21,40.0,69.1,29.1,TI,1.72,609.1,,FINAL RESULT,PRE MATCH,WIN,,
"Team Secret @ 1.57
$50.00 Single",2018-08-22 15:24:32,50.0,0.0,-50.0,TI,1.57,559.1,,FINAL RESULT,PRE MATCH,LOST,,
"Team Secret @ 1.83
$50.00 Single",2018-08-22 17:47:19,50.0,91.67,41.67,TI,1.83,600.77,,FINAL RESULT,PRE MATCH,WIN,,
"Team Liquid @ 1.66
$20.00 Single",2018-08-22 20:22:49,20.0,0.0,-20.0,TI,1.66,580.77,,FINAL RESULT,PRE MATCH,LOST,,
"Team Liquid @ 1.90
$20.77 Single",2018-08-22 20:27:35,20.77,0.0,-20.77,TI,1.9,560.0,,FINAL RESULT,PRE MATCH,LOST,,
"OG @ 1.80
$20.00 Single",2018-08-22 23:40:58,20.0,0.0,-20.0,TI,1.8,540.0,,FINAL RESULT,PRE MATCH,LOST,,
"Team Secret @ 1.61
$30.00 Single",2018-08-23 17:21:59,30.0,48.47,18.47,TI,1.61,558.47,,FINAL RESULT,PRE MATCH,WIN,,
"Virtus Pro @ 1.83
$48.47 Single",2018-08-23 20:05:23,48.47,0.0,-48.47,TI,1.83,510.0,,FINAL RESULT,PRE MATCH,LOST,,
"Virtus Pro @ 2.00
$20.00 Single",2018-08-23 21:10:37,20.0,0.0,-20.0,TI,2.0,490.0,,FINAL RESULT,PRE MATCH,LOST,,
"OG @ 2.37
$20.00 Single",2018-08-24 17:18:20,20.0,0.0,-20.0,TI,2.37,470.0,,FINAL RESULT,PRE MATCH,LOST,,
"OG @ 2.50
$30.00 Single",2018-08-24 18:18:06,30.0,75.0,45.0,TI,2.5,515.0,,FINAL RESULT,PRE MATCH,WIN,,
"Evil Geniuses @ 2.00
$25.00 Single",2018-08-24 19:52:35,25.0,50.0,25.0,TI,2.0,540.0,,FINAL RESULT,PRE MATCH,WIN,,
"Evil Geniuses @ 1.90
$20.00 Single",2018-08-24 19:56:33,20.0,38.19,18.19,TI,1.9,558.19,,FINAL RESULT,PRE MATCH,WIN,,
"Team Liquid @ 1.57
$18.19 Single",2018-08-24 21:31:59,18.19,0.0,-18.19,TI,1.57,540.0,,FINAL RESULT,PRE MATCH,LOST,,
"Team Liquid @ 1.53
$20.00 Single",2018-08-24 21:34:09,20.0,0.0,-20.0,TI,1.53,520.0,,FINAL RESULT,PRE MATCH,LOST,,
"Under 3.0,3.5 @ 1.925
$30.00 Single",2018-08-25 06:27:34,30.0,0.0,-30.0,CSL,1.925,490.0,,TOTAL GOAL,PRE MATCH,LOST,,
"Evil Geniuses @ 2.00
$20.00 Single",2018-08-25 12:58:14,20.0,0.0,-20.0,TI,2.0,470.0,,FINAL RESULT,PRE MATCH,LOST,,
"OG @ 2.25
$30.00 Single",2018-08-25 16:22:58,30.0,67.5,37.5,TI,2.25,507.5,,FINAL RESULT,PRE MATCH,WIN,,
"OG @ 2.20
$17.50 Single",2018-08-25 18:41:30,17.5,0.0,-17.5,TI,2.2,490.0,,FINAL RESULT,PRE MATCH,LOST,,
"PSG.LGD @ 1.40
$50.00 Single",2018-08-25 19:47:26,50.0,0.0,-50.0,TI,1.4,440.0,,FINAL RESULT,PRE MATCH,LOST,Paris SG,
"Jiangsu Suning FC @ 1.50
$100.00 Single",2018-08-29 20:36:38,100.0,0.0,-100.0,CSL,1.5,340.0,,FINAL RESULT,PRE MATCH,LOST,,
"Shandong Luneng -0.5 @ 1.925
$50.00 Single",2018-08-29 20:38:43,50.0,50.0,0.0,CSL,1.925,340.0,,ASIAN HANDICAP,PRE MATCH,PUSH,,
"Shanghai SIPG -0.5,-1.0 @ 2.050
$50.00 Single",2018-08-29 20:55:55,50.0,0.0,-50.0,CSL,2.05,290.0,,ASIAN HANDICAP,PRE MATCH,LOST,,
"Draw @ 5.00
$30.00 Single",2018-09-13 17:54:07,30.0,30.0,0.0,CSL,5.0,290.0,,FINAL RESULT,PRE MATCH,PUSH,,
"Beijing Guoan @ 6.00
$20.00 Single",2018-09-13 17:54:19,20.0,20.0,0.0,CSL,6.0,290.0,,FINAL RESULT,PRE MATCH,PUSH,,
"Beijing Guoan @ 6.00
$20.00 Single",2018-09-13 17:55:22,20.0,0.0,-20.0,CSL,6.0,270.0,,FINAL RESULT,PRE MATCH,LOST,,
"Beijing Guoan +1.0 @ 2.100
$30.00 Single",2018-09-13 17:55:35,30.0,30.0,0.0,CSL,2.1,270.0,,ASIAN HANDICAP,PRE MATCH,PUSH,,
"Draw @ 3.80
$30.00 Single",2018-09-18 06:26:58,30.0,30.0,0.0,CSL,3.8,270.0,,FINAL RESULT,PRE MATCH,PUSH,,
"Shanghai SIPG @ 2.62
$30.00 Single",2018-09-18 06:30:58,30.0,30.0,0.0,CSL,2.62,270.0,,FINAL RESULT,PRE MATCH,PUSH,,
"Shanghai SIPG 0.0 @ 1.925
$30.00 Single",2018-09-18 06:31:50,30.0,57.75,27.75,CSL,1.925,297.75,,ASIAN HANDICAP,PRE MATCH,WIN,,
"Hebei CFFC -1.0 @ 1.975
$50.00 Single",2018-09-20 09:15:41,50.0,50.0,0.0,CSL,1.975,297.75,,ASIAN HANDICAP,PRE MATCH,PUSH,,
"Hebei CFFC -1.0 @ 1.925
$30.00 Single",2018-09-21 08:18:53,30.0,57.75,27.75,CSL,1.925,325.5,,ASIAN HANDICAP,PRE MATCH,WIN,,
"Hebei CFFC @ 1.55
$20.00 Single",2018-09-21 08:19:06,20.0,31.0,11.0,CSL,1.55,336.5,,FINAL RESULT,PRE MATCH,WIN,,
"Under 2.5 @ 2.000
$16.50 Single",2018-09-22 22:46:56,16.5,0.0,-16.5,CSL,2.0,320.0,,TOTAL GOAL,PRE MATCH,LOST,,
"Yes @ 1.72
$100.00 Single",2018-09-26 06:30:38,100.0,0.0,-100.0,CSL,1.72,220.0,,BTTS,PRE MATCH,LOST,,
"Arsenal @ 3.00
$20.00 Single",2018-12-04 18:36:51,20.0,0.0,-20.0,PL,3.0,200.0,,FINAL RESULT,PRE MATCH,LOST,Arsenal,
"Arsenal @ 4.33
$10.00 Single",2018-12-05 16:24:18,10.0,0.0,-10.0,PL,4.33,190.0,,FINAL RESULT,PRE MATCH,LOST,Arsenal,
"No @ 1.57
$20.00 Single",2019-01-15 17:46:54,20.0,31.43,11.43,AFC,1.57,201.43,,BTTS,PRE MATCH,WIN,,
"South Korea @ 1.57
$20.00 Single",2019-01-15 23:01:18,20.0,31.43,11.43,AFC,1.57,212.86,,FINAL RESULT,PRE MATCH,WIN,,
"China PR @ 2.00
$32.86 Single",2019-01-17 06:31:15,32.86,65.72,32.86,AFC,2.0,245.72,,FINAL RESULT,PRE MATCH,WIN,,
"Under 2.5 @ 1.57
$10.00 Single",2019-01-19 23:11:31,10.0,0.0,-10.0,AFC,1.57,235.72,,TOTAL GOAL,PRE MATCH,LOST,,
