Match,Date,Bet,Return,Gain,Meta,Odds,Balance,Comments,BET_TYPE,BET_STYLE,BET_RESULT,TEAM_1,TEAM_2
"Real Madrid @ 2.30
$20.00 Single",2018-05-26 11:14:25,20.0,46.0,26.0,UCL,2.3,226.0,,FINAL RESULT,PRE MATCH,WIN,Real Madrid,
"GS Warriors -6.5 @ 1.90
$10.00 Single",2018-05-28 08:37:48,10.0,19.1,9.1,NBA,1.9,235.1,,ASIAN HANDICAP,PRE MATCH,WIN,,
"Spain @ 1.95
$50.00 Single",2018-05-29 14:17:23,50.0,50.0,0.0,WC,1.95,235.1,,FINAL RESULT,PRE MATCH,PUSH,,
"GS Warriors -11.5 @ 1.90
$20.00 Single",2018-06-02 13:34:35,20.0,38.19,18.19,NBA,1.9,253.29,,UNKNOWN,PRE MATCH,WIN,,
"England @ 1.44
$20.00 Single",2018-06-12 10:27:39,20.0,20.0,0.0,WC,1.44,253.29,,FINAL RESULT,PRE MATCH,PUSH,,
"Spain @ 2.10
$33.29 Single",2018-06-13 07:16:40,33.29,0.0,-33.29,WC,2.1,220.0,,FINAL RESULT,PRE MATCH,LOST,,
"France @ 1.25
$50.00 Single",2018-06-13 13:46:09,50.0,62.5,12.5,WC,1.25,232.5,,FINAL RESULT,PRE MATCH,WIN,,
"Draw @ 4.50
$5.00 Single",2018-06-13 20:45:55,5.0,4.5,-0.5,WC,4.5,232.0,,FINAL RESULT,PRE MATCH,LOST,,
"Draw @ 4.33
$5.00 Single",2018-06-14 08:26:03,5.0,0.0,-5.0,WC,4.33,227.0,,FINAL RESULT,PRE MATCH,LOST,,
"Egypt @ 9.00
$5.00 Single",2018-06-15 05:45:39,5.0,5.0,0.0,WC,9.0,227.0,,FINAL RESULT,PRE MATCH,PUSH,,
"Draw @ 4.00
$5.00 Single",2018-06-15 06:09:05,5.0,0.0,-5.0,WC,4.0,222.0,,FINAL RESULT,PRE MATCH,LOST,,
"Spain @ 4.33
$10.00 Single",2018-06-15 13:22:37,10.0,0.0,-10.0,WC,4.33,212.0,,FINAL RESULT,PRE MATCH,LOST,,
"Spain @ 4.75
$5.00 Single",2018-06-15 13:58:24,5.0,0.0,-5.0,WC,4.75,207.0,,FINAL RESULT,PRE MATCH,LOST,,
"Draw @ 5.00
$5.00 Single",2018-06-16 06:57:54,5.0,25.0,20.0,WC,5.0,227.0,,FINAL RESULT,PRE MATCH,WIN,,
"Egypt @ 2.37
$27.00 Single",2018-06-16 10:38:17,27.0,0.0,-27.0,WC,2.37,200.0,,FINAL RESULT,PRE MATCH,LOST,,
"Peru @ 19.00
$5.00 Single",2018-06-16 12:20:17,5.0,0.0,-5.0,WC,19.0,195.0,,FINAL RESULT,PRE MATCH,LOST,,
