Match,Date,Bet,Return,Gain,Meta,Odds,Bet Type,Balance,Comments
"Real Madrid @ 2.30
$20.00 Single",05/26/2018 11:14:25,20,46,26,UCL,2.3,regular,226,
"GS Warriors -6.5 @ 1.90
$10.00 Single",05/28/2018 8:37:48,10,19.1,9.1,NBA,1.9,regular,235.1,
"Spain @ 1.95
$50.00 Single",05/29/2018 14:17:23,50,50,0,WC,1.95,regular,235.1,
"GS Warriors -11.5 @ 1.90
$20.00 Single",06/02/2018 13:34:35,20,38.19,18.19,NBA,1.9,regular,253.29,
"England @ 1.44
$20.00 Single",06/12/2018 10:27:39,20,20,0,WC,1.44,regular,253.29,
"Spain @ 2.10
$33.29 Single",06/13/2018 7:16:40,33.29,0,-33.29,WC,2.1,regular,220,
"France @ 1.25
$50.00 Single",06/13/2018 13:46:09,50,62.5,12.5,WC,1.25,regular,232.5,
"Draw @ 4.50
$5.00 Single",06/13/2018 20:45:55,5,4.5,-0.5,WC,4.5,regular,232,
"Draw @ 4.33
$5.00 Single",06/14/2018 8:26:03,5,0,-5,WC,4.33,regular,227,
"Egypt @ 9.00
$5.00 Single",06/15/2018 5:45:39,5,5,0,WC,9,regular,227,
"Draw @ 4.00
$5.00 Single",06/15/2018 6:09:05,5,0,-5,WC,4,regular,222,
"Spain @ 4.33
$10.00 Single",06/15/2018 13:22:37,10,0,-10,WC,4.33,regular,212,
"Spain @ 4.75
$5.00 Single",06/15/2018 13:58:24,5,0,-5,WC,4.75,regular,207,
"Draw @ 5.00
$5.00 Single",06/16/2018 6:57:54,5,25,20,WC,5,regular,227,
"Egypt @ 2.37
$27.00 Single",06/16/2018 10:38:17,27,0,-27,WC,2.37,regular,200,
"Peru @ 19.00
$5.00 Single",06/16/2018 12:20:17,5,0,-5,WC,19,regular,195,
"Peru @ 19.00
$5.00 Single",06/16/2018 12:22:49,5,0,-5,WC,19,regular,190,
"Germany -1.0,-1.5 @ 2.070
$50.00 Single",06/17/2018 5:13:59,50,50,0,WC,2.07,regular,190,
"Germany -1.0,-1.5 @ 2.070
$30.00 Single",06/17/2018 5:15:01,30,0,-30,WC,2.07,regular,160,
"Sweden 0.0,-0.5 @ 1.930
$20.00 Single",06/18/2018 6:35:41,20,38.6,18.6,WC,1.93,regular,178.6,
"Over 2.5 @ 1.70
$20.00 Single",06/18/2018 9:25:53,20,34,14,WC,1.7,goals,192.6,
"Morocco +0.5,+1.0 @ 2.080
$20.00 Single",06/18/2018 17:47:26,20,20,0,WC,2.08,regular,192.6,
"Egypt +0.5 @ 1.830
$12.60 Single",06/18/2018 18:34:05,12.6,12.6,0,WC,1.83,regular,192.6,
"Colombia @ 1.75
$22.60 Single",06/18/2018 20:38:44,22.6,0,-22.6,WC,1.75,regular,170,
"Over 2.0,2.5 @ 1.930
$20.00 Single",06/20/2018 6:44:56,20,0,-20,WC,1.93,goals,150,
"Saudi Arabia +1.5,+2.0 @ 1.960
$20.00 Single",06/20/2018 9:55:16,20,39.2,19.2,WC,1.96,regular,169.2,
"Australia +0.5 @ 1.980
$20.00 Single",06/21/2018 6:37:29,20,20,0,WC,1.98,regular,169.2,
"Australia +0.5 @ 2.010
$20.00 Single",06/21/2018 6:49:41,20,40.2,20.2,WC,2.01,regular,189.4,
"Over 2.0,2.5 @ 2.125
$20.00 Single",06/21/2018 7:56:04,20,0,-20,WC,2.125,goals,169.4,
"Over 2.0 @ 1.810
$19.40 Single",06/21/2018 9:48:09,19.4,0,-19.4,WC,1.81,goals,150,
"Serbia @ 3.75
$10.00 Single",06/22/2018 14:29:56,10,0,-10,WC,3.75,regular,140,
"South Korea +0.5,+1.0 @ 1.920
$20.00 Single",06/23/2018 6:46:37,20,19,-1,WC,1.92,regular,139,
"No @ 2.05
$20.00 Single",06/23/2018 9:08:41,20,0,-20,WC,2.05,both score,119,
