# lbin, tt(98x98), tt(98x150), tt(150x150), te(98x98), te(98x150), te(150x98), te(150x150), ee(98x98), ee(98x150), ee(150x150), bb(98x98), bb(98x150), bb(150x150)
5.005000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -6.245314932635028526e+01 -5.418148116823945770e+01 -6.066803453488304854e+01 -5.216117209123454757e+01 8.170479675765200511e+00 7.681409531799093138e+00 7.666920987163569734e+00 -1.038208225061891810e+00 4.711428795913956413e-02 -5.998748268116833871e-02
5.505000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.101850845025675985e-01 2.599621309321710871e+00 -5.090022190177189820e+00 7.992607988645121786e-01 8.354593201236141908e+00 8.493168461069096509e+00 9.085372752352318670e+00 3.567650461837800768e-01 1.552036963983544349e-01 2.342486657835131381e-01
6.005000000000000000e+02 2.427310114198164683e+03 2.435473869599639784e+03 2.443953448391261645e+03 3.891991237188386066e+01 4.197010731576487785e+01 4.400623374443386382e+01 4.286383608859298988e+01 1.765878273607575366e+01 1.798708064812172935e+01 1.820288391288034191e+01 2.740657139053138680e-01 6.471294366403136655e-02 -1.727447637024584481e-01
6.505000000000000000e+02 2.014969620937109767e+03 1.960478188539669191e+03 1.896458354985808228e+03 -3.127199619831149846e+01 -2.348827408012509466e+01 -3.731407283468678315e+01 -2.741148834878227092e+01 3.302340266833112281e+01 3.165983650121629367e+01 3.062555193771994411e+01 -6.496772379455249824e-02 3.385261398776534536e-01 -5.578183332345053314e-02
7.005000000000000000e+02 1.893298558437965085e+03 1.816489113075440400e+03 1.766487221721956757e+03 -8.821399169807492058e+01 -9.025943640241690957e+01 -8.129654924475538280e+01 -7.984618163057501761e+01 3.598949164346259977e+01 3.622357809673495410e+01 3.549302853186667051e+01 3.307953579593315707e-01 1.316746081284135006e-01 -5.373143728040889744e-02
7.505000000000000000e+02 2.441137486380170230e+03 2.421954303649921258e+03 2.397582599597134958e+03 -1.426907960480080249e+02 -1.362780951354443175e+02 -1.402872484538703475e+02 -1.345886384060333683e+02 2.622774325345799795e+01 2.666776390807632779e+01 2.659590202249461655e+01 -4.406240348097148485e-01 -1.671168807315037350e-02 -1.497069604839261214e-01
8.005000000000000000e+02 2.537594938112106774e+03 2.571573781293754564e+03 2.617353852356568950e+03 -9.076373189958854937e+01 -8.802019821559092350e+01 -8.814764857062510828e+01 -8.861342053532891327e+01 1.605160940065718478e+01 1.596421828411073029e+01 1.603785709228317558e+01 8.422114717467217293e-01 1.574191924200845361e-01 1.769461615756315609e-01
8.505000000000000000e+02 2.423646346122922751e+03 2.397252515063249575e+03 2.370016731179573981e+03 -1.239271214753651051e+01 -7.824121296549800597e+00 -1.359696605220148591e+01 -9.394346407903023888e+00 1.343032855113698965e+01 1.227685123878405093e+01 1.151564168102246732e+01 -5.118473734515450735e-01 -2.987727677602112775e-01 -3.807287337130401683e-01
9.005000000000000000e+02 1.997479511525759108e+03 1.963061556937795103e+03 1.933625857939020534e+03 4.455596606673025661e+01 4.864448390209716422e+01 4.549084963409696059e+01 4.975359796445875560e+01 2.153346341841035638e+01 2.166145054030614148e+01 2.197454953545468825e+01 6.887918928563219190e-01 1.664228196593536824e-01 1.467389066142375277e-02
9.505000000000000000e+02 1.387923523762504374e+03 1.378164920609799765e+03 1.370088408893783708e+03 4.207939946313896229e+01 4.854759626567687292e+01 4.091203865392731842e+01 4.617376825808477037e+01 4.103860033509538141e+01 3.934918561451996055e+01 3.706690635543090906e+01 2.582229006616372780e-01 -5.684409508910637232e-01 -2.558803478256347352e-01
1.000500000000000000e+03 1.012112704486867528e+03 1.003476438432876307e+03 1.004854340197853730e+03 -2.740056167368055284e+01 -3.033347823280611522e+01 -3.101587786932763180e+01 -3.063392381087263416e+01 4.121765780631843512e+01 4.274993744892086767e+01 4.260321780871934294e+01 8.030938022317340996e-01 6.963905449107211654e-01 3.452498041964076336e-02
1.050500000000000000e+03 1.097820265797995944e+03 1.084492111973335113e+03 1.077094078205920141e+03 -7.541303219114655576e+01 -7.894345999830277094e+01 -7.506504986316186034e+01 -7.667701557370139653e+01 3.111318059188696239e+01 3.047874358304484588e+01 3.026026526151387586e+01 6.546670169813385669e-03 4.445899683441444927e-01 -1.141197509739557553e-01
1.100500000000000000e+03 1.307147308101943963e+03 1.292255449319638274e+03 1.288358136419795301e+03 -8.998289874586124881e+01 -8.087025289596206790e+01 -8.630503105402306119e+01 -7.880866239370095627e+01 1.919753812801950232e+01 1.857337725616092072e+01 1.757622722644561364e+01 1.985095244319229124e+00 3.927053429968390685e-01 4.962449124802709166e-01
1.150500000000000000e+03 1.217055449669378959e+03 1.223856949220646129e+03 1.234791506939041938e+03 -3.646611045263450279e+01 -3.409471968415937937e+01 -3.748539755851364674e+01 -3.432631459462263734e+01 1.133092844460736259e+01 1.207647680609969498e+01 1.147444095964095467e+01 -6.706604268098673161e-02 1.898644478207687780e-01 -5.294122186367274940e-01
1.200500000000000000e+03 9.918889800403209165e+02 9.733238038616703989e+02 9.617146678973917915e+02 1.857997509385802459e+01 1.054628339493099531e+01 2.502275180948213773e+01 1.121338643371706212e+01 1.678457494448395693e+01 1.630507516744326324e+01 1.548345033863867570e+01 -6.221278400574477008e-01 5.403676144707488804e-01 2.252694062288587706e-01
