team_id,id,team,season,league,avgGoals,avgGoalsAgainst,avgShotsTotal,avgShotsTotalAgainst,avgShotsOnTarget,avgShotsOnTargetAgainst,avgXg,avgXgAgainst,avgNpxg,avgNpxgAgainst,avgTouchesAtt3rd,avgTouchesAtt3rdAgainst,avgTouchesAttPenArea,avgTouchesAttPenAreaAgainst,avgDribbles,avgDribblesAgainst,avgDribblesCompleted,avgDribblesCompletedAgainst,avgAssistedShots,avgAssistedShotsAgainst,avgPassesIntoFinalThird,avgPassesIntoFinalThirdAgainst,avgPassesIntoPenaltyArea,avgPassesIntoPenaltyAreaAgainst,avgProgressivePasses,avgProgressivePassesAgainst,avgCrossesIntoPenaltyArea,avgCrossesIntoPenaltyAreaAgainst,avgCrosses,avgCrossesAgainst,avgThroughBalls,avgThroughBallsAgainst,avgCornerKicks,avgCornerKicksAgainst,avgPressures,avgPressuresAgainst,avgPressureRegains,avgPressureRegainsAgainst,avgPressuresAtt3rd,avgPressuresAtt3rdAgainst,avgTackles,avgTacklesAgainst,avgTacklesWon,avgTacklesWonAgainst,avgTacklesAtt3rd,avgTacklesAtt3rdAgainst,avgTacklesInterceptions,avgTacklesInterceptionsAgainst,avgAerialsWon,avgAerialsWonAgainst,avgAerialsLost,avgAerialsLostAgainst,avgFouls,avgFoulsAgainst,createdAt,updatedAt
0,3,Hoffenheim,2020-2021,Bundesliga,1.5,1.53,12.38,10.94,4.41,4.09,1.52,1.57,1.39,1.37,162.97,140.44,24.59,24.18,17.65,16.29,10.18,9.74,9.21,8.53,31.18,27.41,10.03,8.44,39.26,34.5,2.88,2.03,12.94,11.82,0.71,0.97,4.59,4.68,140.18,160.0,46.24,45.0,35.88,35.74,17.35,18.88,10.44,10.62,2.35,2.26,27.53,30.79,16.59,,19.47,,13.24,,2021-05-24 23:30:03,2021-05-24 23:30:03
1,5,Osasuna,2020-2021,La_Liga,0.95,1.18,9.79,11.03,3.08,3.63,0.99,1.35,0.87,1.19,123.53,155.71,18.0,22.42,12.08,14.05,6.53,8.08,6.76,8.32,25.08,28.55,6.76,8.63,27.08,32.87,2.53,2.39,13.42,14.76,0.39,1.18,3.08,4.66,140.24,117.26,40.79,38.0,33.79,23.68,14.97,14.24,9.32,9.47,2.05,1.32,25.08,23.84,28.18,,22.03,,14.13,,2021-05-24 23:30:03,2021-05-24 23:30:03
2,8,Udinese,2020-2021,Serie_A,1.05,1.53,10.76,11.79,3.29,3.95,1.13,1.37,1.06,1.09,148.32,169.37,22.08,22.5,15.61,15.26,10.08,9.18,7.58,8.34,24.42,35.34,8.0,8.84,30.53,37.95,2.03,2.21,12.32,11.03,0.5,0.53,4.29,5.11,133.58,146.47,38.18,42.26,27.76,34.63,15.61,16.63,10.08,10.24,1.42,2.24,26.11,28.45,13.42,,13.03,,13.61,,2021-05-24 23:30:03,2021-05-24 23:30:03
3,9,Bayern Munich,2020-2021,Bundesliga,2.88,1.29,16.74,9.97,6.47,3.79,2.23,1.21,2.01,1.14,231.03,111.65,38.88,17.35,21.56,15.68,14.12,9.41,13.06,7.65,47.15,21.26,13.85,5.97,51.26,24.68,3.29,1.79,16.65,9.74,1.38,1.47,6.97,3.5,146.65,165.47,50.32,47.71,44.88,29.76,17.18,19.32,11.09,11.94,3.35,1.97,29.38,33.21,14.65,,13.29,,9.38,,2021-05-24 23:30:03,2021-05-24 23:30:03
4,15,Augsburg,2020-2021,Bundesliga,1.03,1.5,9.85,14.03,3.18,5.06,1.06,1.64,0.95,1.44,106.29,181.12,16.62,29.74,16.47,16.03,9.59,9.41,7.0,10.47,19.68,35.5,5.79,11.29,25.97,44.09,1.65,3.24,9.21,16.59,0.74,0.82,3.56,5.47,150.29,154.21,44.82,50.26,28.03,42.68,17.03,17.53,9.94,10.74,1.85,3.0,29.88,28.74,18.44,,22.94,,11.76,,2021-05-24 23:30:03,2021-05-24 23:30:03
5,16,Hellas Verona,2020-2021,Serie_A,1.0,1.21,10.42,13.89,3.16,3.66,1.14,1.32,1.09,1.19,149.18,146.76,21.82,26.32,13.82,11.84,8.32,6.82,7.82,10.34,26.53,27.13,8.37,8.58,33.87,32.95,1.79,2.26,12.08,11.47,0.53,0.42,4.87,4.92,130.63,136.82,39.55,45.58,30.0,26.58,14.26,15.53,8.89,9.97,1.55,1.21,26.45,27.21,22.55,,23.08,,16.42,,2021-05-24 23:30:03,2021-05-24 23:30:03
6,19,Torino,2020-2021,Serie_A,1.29,1.79,11.97,13.0,3.79,3.97,1.32,1.55,1.2,1.35,132.58,161.42,19.32,25.87,16.82,15.21,9.74,8.89,7.87,9.13,24.11,30.08,6.61,9.18,25.42,35.26,2.53,2.39,12.87,12.95,0.55,0.76,4.47,4.76,135.97,141.5,39.21,39.5,29.82,32.24,15.66,16.55,9.92,9.87,2.29,2.26,28.63,25.18,16.34,,17.89,,15.26,,2021-05-24 23:30:03,2021-05-24 23:30:03
7,20,Valladolid,2020-2021,La_Liga,0.89,1.5,9.45,12.29,2.89,4.08,0.98,1.36,0.82,1.22,122.97,160.76,15.5,23.29,13.08,17.79,7.05,10.95,6.61,8.92,22.21,29.61,5.53,8.87,23.21,33.92,2.03,2.55,12.63,13.53,0.5,1.03,3.71,5.11,153.66,128.97,42.74,37.29,31.26,29.18,15.97,15.37,9.89,9.89,1.76,1.92,26.24,25.11,18.55,,23.03,,13.53,,2021-05-24 23:30:03,2021-05-24 23:30:03
8,25,Arsenal,2020-2021,EPL,1.39,0.92,11.97,11.03,3.71,3.37,1.41,1.17,1.29,1.11,175.32,151.11,25.76,20.95,15.0,13.58,7.97,8.61,8.5,7.95,34.68,28.13,8.95,7.11,35.26,24.79,1.89,1.87,13.66,11.68,1.16,0.61,5.42,4.37,123.29,140.55,35.03,37.61,33.92,35.63,13.42,15.92,8.29,9.71,1.95,2.0,22.29,25.97,13.55,,15.95,,9.11,,2021-05-24 23:30:03,2021-05-24 23:30:03
9,28,Manchester Utd,2020-2021,EPL,1.84,1.11,13.61,11.18,5.18,3.55,1.58,1.11,1.37,1.03,207.66,140.21,27.45,19.89,19.29,14.55,11.16,8.87,10.58,8.16,35.89,24.61,10.45,6.68,39.53,27.97,1.71,1.71,11.68,10.79,1.37,0.66,5.18,4.26,132.66,159.58,39.21,43.97,35.26,36.71,15.53,19.47,9.76,11.82,2.11,2.5,27.5,34.0,14.55,,11.37,,11.95,,2021-05-24 23:30:03,2021-05-24 23:30:03
