platform_code,platform_type,time,latitude,longitude,sst,slp,lon360
,,UTC,degrees_north,degrees_east,Deg C,hPa,degree_east
6203641,DRIFTING BUOYS (GENERIC),2020-12-24T01:00:00Z,45.2129,-5.2503,13.93,1023.7,354.7497
6203641,DRIFTING BUOYS (GENERIC),2020-12-24T03:00:00Z,45.2026,-5.2695,13.91,1024.2,354.7305
6203641,DRIFTING BUOYS (GENERIC),2020-12-24T04:00:00Z,45.2003,-5.2783,13.91,1024.3,354.7217
6203641,DRIFTING BUOYS (GENERIC),2020-12-24T05:00:00Z,45.1989,-5.2864,13.91,1024.3,354.7136
6203641,DRIFTING BUOYS (GENERIC),2020-12-24T06:00:00Z,45.1988,-5.2939,13.9,1024.6,354.7061
6203641,DRIFTING BUOYS (GENERIC),2020-12-24T07:00:00Z,45.1979,-5.3012,13.9,1024.6,354.6988
6203641,DRIFTING BUOYS (GENERIC),2020-12-24T09:00:00Z,45.1965,-5.3139,13.9,1025.8,354.6861
6203641,DRIFTING BUOYS (GENERIC),2020-12-24T10:00:00Z,45.1944,-5.3192,13.9,1026.3,354.6808
6203641,DRIFTING BUOYS (GENERIC),2020-12-24T11:00:00Z,45.1897,-5.3281,13.89,1027.3,354.6719
6203641,DRIFTING BUOYS (GENERIC),2020-12-24T12:00:00Z,45.1849,-5.3389,13.9,1027.3,354.6611
6203641,DRIFTING BUOYS (GENERIC),2020-12-24T13:00:00Z,45.1816,-5.3505,13.9,1027.2,354.6495
6203641,DRIFTING BUOYS (GENERIC),2020-12-24T14:00:00Z,45.1799,-5.3601,13.89,1027.2,354.6399
6203641,DRIFTING BUOYS (GENERIC),2020-12-24T15:00:00Z,45.1789,-5.3675,13.89,1027.7,354.6325
6203641,DRIFTING BUOYS (GENERIC),2020-12-24T16:00:00Z,45.1779,-5.3741,13.88,1028.6,354.6259
6203641,DRIFTING BUOYS (GENERIC),2020-12-24T17:00:00Z,45.1774,-5.3763,13.88,1029.1,354.6237
6203641,DRIFTING BUOYS (GENERIC),2020-12-24T18:00:00Z,45.1749,-5.3775,13.88,1030.0,354.6225
6203641,DRIFTING BUOYS (GENERIC),2020-12-24T19:00:00Z,45.1714,-5.3775,13.87,1030.5,354.6225
6203641,DRIFTING BUOYS (GENERIC),2020-12-24T20:00:00Z,45.167,-5.3751,13.88,1031.3,354.6249
6203641,DRIFTING BUOYS (GENERIC),2020-12-24T21:00:00Z,45.1604,-5.3742,13.87,1031.1,354.6258
6203641,DRIFTING BUOYS (GENERIC),2020-12-24T22:00:00Z,45.1521,-5.3755,13.87,1031.6,354.6245
6203641,DRIFTING BUOYS (GENERIC),2020-12-24T23:00:00Z,45.1412,-5.3796,13.86,1032.2,354.6204
6203641,DRIFTING BUOYS (GENERIC),2020-12-25T00:00:00Z,45.1302,-5.3874,13.86,1032.3,354.6126
6203641,DRIFTING BUOYS (GENERIC),2020-12-25T01:00:00Z,45.1185,-5.3977,13.87,1032.6,354.6023
6203641,DRIFTING BUOYS (GENERIC),2020-12-25T01:58:00Z,45.1134,-5.4111,13.85,1033.1,354.5889
6203641,DRIFTING BUOYS (GENERIC),2020-12-25T02:00:00Z,45.1134,-5.4111,13.86,1032.7,354.5889
6203641,DRIFTING BUOYS (GENERIC),2020-12-25T04:00:00Z,45.1146,-5.4365,13.86,1033.1,354.5635
6203641,DRIFTING BUOYS (GENERIC),2020-12-25T04:58:00Z,45.1185,-5.4423,13.84,1034.5,354.5577
6203641,DRIFTING BUOYS (GENERIC),2020-12-25T05:00:00Z,45.1185,-5.4423,13.85,1034.0,354.5577
6203641,DRIFTING BUOYS (GENERIC),2020-12-25T07:00:00Z,45.1276,-5.4425,13.83,1035.3,354.5575
