shortname,longname,location,longitude,latitude,altitude
ACT,Atacama Cosmology Telescope (ACT),chajnantor,-67.7875,-22.9586,5190
ALMA,Atacama Large Millimeter/submillimeter Array (ALMA),chajnantor,-67.7532,-23.0193,5059
AliCPT,Ali CMB Polarization Telescope (AliCPT),tibet,80.025663,32.326478,5250
AMiBA,Array for Microwave Background Anisotropy (AMiBA),mauna_loa,-155.575278,19.536194,3396
APEX,Atacama Pathfinder EXperiment (APEX),chajnantor,-67.7592,-23.0058,5064
SPT,South Pole Telescope (SPT),south_pole,0.0,-90.0,2800
